project_name,project_code,legacy_ocms_code,original_cost,expenditure,physical_progress,planned_duration_months,project_age_months,approval_to_start_months,State,agency,cost_overrun_flag
Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District,NIT Sikkim,612883,685.76,283.56,34.5,47.0,25.0,1.0,Sikkim,NIT Sikkim,0
Construction of Precast housing and hostels at IIT Hyderabad,"Indian Institute of Technology, Hyderabad",609996,262.0,213.89,87.44,23.0,41.0,2.0,Telangana,"Indian Institute of Technology, Hyderabad",0
Banaras Hindu University [ Kayakalp of Institute of Medical Sciences],Banaras Hindu University,606479,246.0,207.02,99.0,27.0,70.0,0.0,Uttar Pradesh,Banaras Hindu University,0
"Construction & Development of Infrastructural Facilities in the main campus of NIT Uttarakhand at Sumari, Pauri Garhwal",National Institute of Technology Uttarakhand,611963,650.85,345.85,56.0,41.0,24.0,46.0,Uttarakhand,National Institute of Technology Uttarakhand,0
"HEFA projects on development of student hostels, playgrounds, departmental buildings, class room complex and other campus facilities in IIT Kharagpur","Indian Institute of Technology, Kharagpur",609019,500.0,415.35,96.0,47.0,84.0,10.0,West Bengal,"Indian Institute of Technology, Kharagpur",0
"Construction of LPG Facilities at Kamardanga, Assam",Hindustan Petroleum Corporation Limited,709754,156.36,102.07,75.5,52.0,37.0,0.0,Assam,Hindustan Petroleum Corporation Limited,0
"Setting up of new rail fed POL facility at Kamardanga, Assam",Hindustan Petroleum Corporation Limited [HPCL],709755,384.04,216.85,82.4,52.0,37.0,0.0,Assam,Hindustan Petroleum Corporation Limited [HPCL],0
Capacity Augmentation of Kandla LPG Import Terminal [KLIT] from 0.6 MMTPA to 2.5 MMTPA,Ministry of Petroleum & Natural Gas,617839,356.86,72.32,66.0,38.0,35.0,0.0,Gujarat,Ministry of Petroleum & Natural Gas,0
"Andheri Residential Towers, Mumbai",Ministry of Petroleum & Natural Gas,604833,281.35,270.49,79.5,95.0,106.0,0.0,Maharashtra,Ministry of Petroleum & Natural Gas,1
Setting up of 50 MW [plus/minus 5 percent] Wind Power Plant for Captive Consumption at MR,MinistryofPetroleumNaturalGas,619313,483.14,287.79,57.9,47.0,35.0,0.0,Maharashtra,MinistryofPetroleumNaturalGas,0
LPG Bottling Plant at Mualkhang,Ministry of Petroleum & Natural Gas,617829,225.71,22.78,32.0,51.0,21.0,0.0,Mizoram,Ministry of Petroleum & Natural Gas,0
Srikakulam Angul Gas Pipeline Project,Ministry of Petroleum & Natural Gas,701343,2658.34,2315.2,97.6,34.0,79.0,0.0,"Multi-States
(Andhra Pradesh,
Odisha)",Ministry of Petroleum & Natural Gas,1
Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT] at Paradip,Ministry of Petroleum & Natural Gas,701349,10228.0,10912.42,92.4,66.0,87.0,0.0,"Multi-States
(Assam, Bihar,
Jharkhand,
Odisha, West
Bengal)",Ministry of Petroleum & Natural Gas,1
New Mundra Panipat Crude Oil Pipeline,Ministry of Petroleum & Natural Gas,400078,9028.0,7160.82,91.4,36.0,52.0,0.0,"Multi-States
(Gujarat, Haryana,
Rajasthan)",Ministry of Petroleum & Natural Gas,0
Kandla Gorakhpur LPG Pipeline,Ministry of Petroleum & Natural Gas,400012,10088.0,8529.58,95.2,36.0,88.0,0.0,"Multi-States
(Gujarat, Madhya
Pradesh, Uttar
Pradesh)",Ministry of Petroleum & Natural Gas,0
Multi Product Pipeline from Irugur to Devangonthi,"Department of Water Resources, River Development & GR",400301,678.0,1118.26,82.6,51.0,161.0,0.0,"Multi-States
(Karnataka, Tamil
Nadu)","Department of Water Resources, River Development & GR",1
Rajasthan Refinery Project,MinistryofPetroleumNaturalGas,701263,43129.0,69202.21,91.9,60.0,102.0,0.0,Rajasthan,MinistryofPetroleumNaturalGas,1
"Petrochemical evacuation marketing terminal at Barmer, Rajasthan",Hindustan Petroleum Corporation Limited [HPCL],709759,461.05,225.25,89.8,36.0,28.0,0.0,Rajasthan,Hindustan Petroleum Corporation Limited [HPCL],0
Laying of POL Pipelines in Common Corridor for proposed grass root terminal at Vallur [Chennai],Ministry of Petroleum & Natural Gas,400043,829.0,350.21,76.2,52.0,51.0,0.0,Tamil Nadu,Ministry of Petroleum & Natural Gas,0
"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing Dharmanagar Depot",Indian Oil Corporation Limited [IOCL],400035,656.0,537.17,97.0,39.0,46.0,0.0,Tripura,Indian Oil Corporation Limited [IOCL],0
"Grass-root Terminal at Mirzapur, Uttar Pradesh",Ministry of Petroleum & Natural Gas,604852,980.45,293.88,75.0,50.0,43.0,0.0,Uttar Pradesh,Ministry of Petroleum & Natural Gas,0
KG-DWN-98/2 Cluster - II Development Project - NELP Block,Oil and Natural Gas Corporation Limited [ONGC],400120,34012.0,33006.7,96.5,51.0,121.0,0.0,Andhra Pradesh,Oil and Natural Gas Corporation Limited [ONGC],0
Provision of four bitumen tanks with capacity of 5 TMT each at Visakh Refinery,Ministry of Petroleum and Natural Gas,619226,258.34,1.65,10.5,30.0,7.0,0.0,Andhra Pradesh,Ministry of Petroleum and Natural Gas,0
HP-COAT [Crude to Olefins and Aromatics Technology] demo unit at Visakh Refinery,Hindustan Petroleum Corporation Limited,709752,160.0,135.52,91.6,33.0,55.0,0.0,Andhra Pradesh,Hindustan Petroleum Corporation Limited,1
Numaligarh Refinery Expansion Project,Ministry of Petroleum & Natural Gas,604791,12366.0,19522.33,84.6,48.0,69.0,0.0,Assam,Ministry of Petroleum & Natural Gas,1
Development of Surface Facilities for production and evacuation of Crude Oil and Natural Gas from Nadua and East Khagorija,Ministry of Petroleum & Natural Gas,604863,682.9,598.62,94.3,25.0,99.0,0.0,Assam,Ministry of Petroleum & Natural Gas,1
"Guwahati Refinery Expansion [1.0 to 1.2 MMTPA] along with installation of CRU, Guwahati Refinery",Ministry of Petroleum & Natural Gas,607701,412.3,457.64,94.9,29.0,59.0,0.0,Assam,Ministry of Petroleum & Natural Gas,1
"Construction of Field Gas Gathering Station at Baghjan area for collection, processing & transportation of natural Gas to be produced from Baghjan Field",Ministry of Petroleum & Natural Gas,616858,430.76,346.97,92.4,39.0,64.0,0.0,Assam,Ministry of Petroleum & Natural Gas,0
Coke Drum Structure Package,Ministry of Petroleum & Natural Gas,617836,635.28,453.66,60.6,36.0,40.0,0.0,Assam,Ministry of Petroleum & Natural Gas,0
"Group Gathering Station, Lakwagaon",Ministry of Petroleum & Natural Gas,619316,495.59,18.04,5.7,24.0,6.0,0.0,Assam,Ministry of Petroleum & Natural Gas,0
Augmentation/Revamping of Facilities at existing Guwahati Terminal at Betkuchi,MinistryofPetroleumNaturalGas,709776,277.0,226.36,81.2,53.0,48.0,0.0,Assam,MinistryofPetroleumNaturalGas,1
Capacity Expansion of Digboi Refinery from 0.65 to 1.0 MMTPA,MinistryofPetroleumNaturalGas,709779,768.0,174.5,56.0,45.0,46.0,0.0,Assam,MinistryofPetroleumNaturalGas,0
Pipeline Network Project Rudrasagar,Ministry of Petroleum & Natural Gas,709847,481.03,235.37,54.1,39.0,39.0,0.0,Assam,Ministry of Petroleum & Natural Gas,0
Borholla GGS Life Extension Project [BLEP],Ministry of Petroleum & Natural Gas,709850,198.7,96.22,55.7,32.0,31.0,0.0,Assam,Ministry of Petroleum & Natural Gas,0
DCU Revamp Project,NRL,709864,370.0,281.31,76.3,35.0,56.0,0.0,Assam,NRL,0
Power Recovery Turbine [PRT] in PFCCU unit as an Energy Conservation Scheme,NRL,709865,293.5,81.84,99.0,20.0,36.0,0.0,Assam,NRL,0
"Setting up of LPG Plant with Rail Unloading Facility at Hathua, Dist. Gopalganj, Bihar",MinistryofPetroleumNaturalGas,617304,340.15,167.24,51.0,41.0,30.0,0.0,Bihar,MinistryofPetroleumNaturalGas,0
Barauni Refinery Capacity Expansion from 6.0 to 9.0 MMTPA,Ministry of Petroleum & Natural Gas,701324,14810.0,12872.04,90.9,39.0,75.0,0.0,Bihar,Ministry of Petroleum & Natural Gas,1
Installation of Bitumen Manufacturing Unit along with allied facilities at Barauni Refinery,MinistryofPetroleumNaturalGas,709777,389.35,115.69,60.8,39.0,51.0,0.0,Bihar,MinistryofPetroleumNaturalGas,0
"City Gas Distribution Projects at Darbhanga, Madhubani, Supaul, Sitamarhi and Sheohar districts",Bharat Petroleum Corporation Limited [BPCL],709792,3638.0,472.43,33.3,87.0,40.0,0.0,Bihar,Bharat Petroleum Corporation Limited [BPCL],0
"City Gas Distribution Projects at Gopalganj, Siwan, West Champaran, East Champaran and Deoria districts",Bharat Petroleum Corporation Limited [BPCL],709793,3919.0,510.08,30.1,90.0,40.0,0.0,Bihar,Bharat Petroleum Corporation Limited [BPCL],0
"City Gas Distribution [CGD] Project in Kondagaon, Bastar, Sukma, Narayanpur, Bijapur & Dantewada GA",Ministry of Petroleum & Natural Gas,617819,557.04,8.76,2.2,96.0,46.0,0.0,Chhattisgarh,Ministry of Petroleum & Natural Gas,0
Redevelopment of Sobhasan Complex,Oil and Natural Gas Corporation Limited [ONGC],400087,885.63,990.06,87.5,67.0,56.0,0.0,Gujarat,Oil and Natural Gas Corporation Limited [ONGC],1
Redevelopment of Santhal Field [Onshore-Mehsana Asset],Oil and Natural Gas Corporation Limited [ONGC],400167,1162.56,1152.51,95.9,109.0,110.0,0.0,Gujarat,Oil and Natural Gas Corporation Limited [ONGC],0
Redevelopment of Linch Field,Oil and Natural Gas Corporation Limited [ONGC],400169,631.03,612.97,90.0,47.0,60.0,0.0,Gujarat,Oil and Natural Gas Corporation Limited [ONGC],1
Petrochemical and Lube Integration Project at Gujarat Refinery,Ministry of Petroleum & Natural Gas,701329,18936.0,13579.35,88.3,47.0,67.0,0.0,Gujarat,Ministry of Petroleum & Natural Gas,0
Installation of new Biturox Unit along with allied facilities at Gujarat Refinery,MinistryofPetroleumNaturalGas,709778,328.29,214.63,84.1,43.0,51.0,0.0,Gujarat,MinistryofPetroleumNaturalGas,1
Commercial Polymer Flooding Project in Bechraji field,Oil and Natural Gas Corporation Limited [ONGC],709838,621.4,222.8,42.0,34.0,51.0,0.0,Gujarat,Oil and Natural Gas Corporation Limited [ONGC],1
"Restoration of Gas Terminal, Phase-I [Part-A], Hazira",Oil and Natural Gas Corporation Limited [ONGC],709840,249.43,210.5,97.1,33.0,47.0,0.0,Gujarat,Oil and Natural Gas Corporation Limited [ONGC],0
Old Pipe Line Replacement [OPRP] Group-A,Oil and Natural Gas Corporation Limited [ONGC],709841,173.03,164.86,93.5,48.0,57.0,0.0,Gujarat,Oil and Natural Gas Corporation Limited [ONGC],0
"Kalol Redevelopment Project, Ahmedabad Asset",Oil and Natural Gas Corporation Limited [ONGC],709842,1487.41,940.5,64.0,55.0,44.0,0.0,Gujarat,Oil and Natural Gas Corporation Limited [ONGC],0
"Revamping of SV Stations, Gas Terminal & Kribhco Terminal",Oil and Natural Gas Corporation Limited [ONGC],709845,837.34,445.89,67.7,45.0,41.0,0.0,Gujarat,Oil and Natural Gas Corporation Limited [ONGC],0
"Indian Oil Technology Development and Deployment Centre at R&D Campus-II, Faridabad",Ministry of Petroleum & Natural Gas,604853,2281.94,1879.93,65.0,42.0,82.0,0.0,Haryana,Ministry of Petroleum & Natural Gas,1
Poly Butadiene Rubber plant at Panipat,Indian Oil Corporation Limited [IOCL],611917,1459.0,1473.41,85.9,36.0,49.0,0.0,Haryana,Indian Oil Corporation Limited [IOCL],1
Change of service of existing Mundra-Panipat Pipeline [Panipat - Churwa section] from Crude oil to Product,IOCL,619196,359.0,10.37,35.3,22.0,11.0,0.0,Haryana,IOCL,0
Capacity Expansion of Panipat Refinery from 15 to 25 MMTPA,Ministry of Petroleum & Natural Gas,701289,34627.0,27035.45,93.2,43.0,62.0,0.0,Haryana,Ministry of Petroleum & Natural Gas,1
"Installation of Multiple Effect Evaporator [MEE] for ETP-1, 2 & 4 of Panipat Refinery and Petrochemical Complex.",MinistryofPetroleumNaturalGas,709783,165.13,174.93,87.1,30.0,64.0,0.0,Haryana,MinistryofPetroleumNaturalGas,1
"City Gas Distribution Project at Jammu, Udhampur, Reasi, Samba and Kathua Districts",MinistryofPetroleumNaturalGas,709773,538.0,4.32,0.6,120.0,49.0,0.0,"Jammu and
Kashmir",MinistryofPetroleumNaturalGas,0
Development of Jharia CBM Block [Phase-1],Oil and Natural Gas Corporation Limited [ONGC],610984,431.0,261.97,65.3,50.0,77.0,0.0,Jharkhand,Oil and Natural Gas Corporation Limited [ONGC],0
Laying of Natural Gas Pipeline from Hazaribagh to Ranchi [HRPL],MinistryofPetroleumNaturalGas,709785,202.07,63.8,56.5,36.0,38.0,0.0,Jharkhand,MinistryofPetroleumNaturalGas,0
Power System Upgradation Project,Mangalore Refinary and Petrochemicals Limited,612790,385.0,260.92,82.5,25.0,30.0,0.0,Karnataka,Mangalore Refinary and Petrochemicals Limited,0
Demo Bio-ATF Project,Ministry of Petroleum & Natural Gas,616879,364.0,71.1,47.4,34.0,25.0,0.0,Karnataka,Ministry of Petroleum & Natural Gas,0
Revamping/ Augmentation of facilities at existing port terminal at Mangalore,Ministry of Petroleum & Natural Gas,709774,463.0,302.1,83.0,47.0,51.0,0.0,Karnataka,Ministry of Petroleum & Natural Gas,1
Augmentation of CCKPL and IDPL Pipelines capacity along with setting up of Palakkad TOP,Ministry of Petroleum & Natural Gas,617838,1130.0,268.98,36.2,47.0,19.0,0.0,Kerala,Ministry of Petroleum & Natural Gas,0
Setting up Polypropylene Unit at Kochi Refinery,MinistryofPetroleumNaturalGas,709799,4460.0,818.9,32.2,46.0,28.0,0.0,Kerala,MinistryofPetroleumNaturalGas,1
C2/C3 Vijaipur Pata Pipeline,Ministry of Petroleum & Natural Gas,617830,1792.0,488.0,65.2,32.0,23.0,0.0,Madhya Pradesh,Ministry of Petroleum & Natural Gas,0
Ethylene Cracker Project at Bina Refinery including downstream Petrochemical Plants and expansion of Refinery,MinistryofPetroleumNaturalGas,709798,43367.0,4802.7,25.5,60.0,35.0,0.0,Madhya Pradesh,MinistryofPetroleumNaturalGas,0
"500 KTA PDHPP Project, Usar",Ministry of Petroleum & Natural Gas,400168,8797.0,8003.66,90.7,48.0,60.0,0.0,Maharashtra,Ministry of Petroleum & Natural Gas,1
Lube Modernization & Bottom Upgradation Project at Mumbai Refinery,Ministry of Petroleum and Natural Gas,616933,4679.0,270.1,10.7,39.0,16.0,0.0,Maharashtra,Ministry of Petroleum and Natural Gas,0
Petro Resid Fluidized Catalytic Cracking [PRFCC] Unit and its associated facilities at Mumbai Refinery,Ministry of Petroleum & Natural Gas,619223,13626.0,55.4,4.4,52.0,11.0,0.0,Maharashtra,Ministry of Petroleum & Natural Gas,0
Augmentation of DUPL-DPPL Pipeline,Ministry of Petroleum & Natural Gas,619224,844.0,0.61,6.1,33.0,10.0,0.0,Maharashtra,Ministry of Petroleum & Natural Gas,0
Installation of Compression facility at GAIL Usar,Ministry of Petroleum & Natural Gas,619225,260.2,0.0,0.0,24.0,12.0,0.0,Maharashtra,Ministry of Petroleum & Natural Gas,0
HP TDAE Unit in Mumbai Refinery,Hindustan Petroleum Corporation Limited,709760,240.0,151.04,85.0,22.0,22.0,0.0,Maharashtra,Hindustan Petroleum Corporation Limited,0
"City Gas Distribution Project at Beed, Jalgaon and Jalna Districts",MinistryofPetroleumNaturalGas,709771,865.0,78.67,3.4,114.0,49.0,0.0,Maharashtra,MinistryofPetroleumNaturalGas,0
Construction of Additional Tankages and Allied Facilities at JNPT Terminal,MinistryofPetroleumNaturalGas,709780,341.43,300.5,70.9,52.0,48.0,0.0,Maharashtra,MinistryofPetroleumNaturalGas,1
ATF Pipeline from Jawaharlal Nehru Port Trust to Navi Mumbai International Airport,Indian Oil Corporation Limited [IOCL],709782,165.0,101.62,97.8,36.0,44.0,0.0,Maharashtra,Indian Oil Corporation Limited [IOCL],0
POL & LOBS Installations with Receipt Pipelines at Rasayani,Bharat Petroleum Corporation Limited [BPCL],709797,2585.0,1288.41,80.6,36.0,35.0,0.0,Maharashtra,Bharat Petroleum Corporation Limited [BPCL],0
Visakh Raipur Pipeline Project,Ministry of Petroleum and Natural Gas,616254,2212.0,498.11,34.0,36.0,19.0,0.0,"Multi-States
(Andhra Pradesh,
Chhattisgarh,
Odisha)",Ministry of Petroleum and Natural Gas,0
North East Gas Grid,Ministry of Petroleum & Natural Gas,701346,9265.0,6877.97,87.6,47.0,72.0,0.0,"Multi-States
(Arunachal
Pradesh, Assam,
Manipur,
Meghalaya,
Mizoram,
Nagaland, Sikkim,
Tripura, West
Bengal)",Ministry of Petroleum & Natural Gas,0
"Pipeline Rehabilitation Project, Phase-II",Ministry of Petroleum & Natural Gas,617827,680.0,8.19,24.0,60.0,16.0,0.0,"Multi-States
(Assam, Bihar,
West Bengal)",Ministry of Petroleum & Natural Gas,0
"CGD Project in Banka, Dumka, Godda, Jamtara, Pakur, Sahibganj GA ID 11A.02",Hindustan Petroleum Corporation Limited,709757,1377.0,375.17,37.0,96.0,46.0,0.0,"Multi-States
(Bihar, Jharkhand)",Hindustan Petroleum Corporation Limited,0
Mumbai Nagpur Jharsuguda Pipeline Project,Ministry of Petroleum & Natural Gas,701354,7844.25,7070.1,98.9,35.0,70.0,0.0,"Multi-States
(Chhattisgarh,
Madhya Pradesh,
Maharashtra,
Odisha)",Ministry of Petroleum & Natural Gas,1
Mehsana-Bhatinda & Bhatinda-Jammu Natural Gas Pipeline,Ministry of Petroleum & Natural Gas,701330,7392.0,6354.05,90.2,155.0,177.0,0.0,"Multi-States
(Gujarat, Haryana,
Punjab,
Rajasthan)",Ministry of Petroleum & Natural Gas,0
Gurdaspur Jammu Pipeline,Gas Authority of India Limited [GAIL],612853,521.9,302.5,47.6,36.0,33.0,0.0,"Multi-States
(Jammu and
Kashmir, Punjab)",Gas Authority of India Limited [GAIL],0
Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II,Ministry of Petroleum & Natural Gas,701228,2915.0,4790.3,96.6,42.0,202.0,0.0,"Multi-States
(Karnataka,
Kerala, Tamil
Nadu)",Ministry of Petroleum & Natural Gas,1
City Gas Distribution Maharashtra Natural Gas Limited,Ministry of Petroleum & Natural Gas,701338,5535.0,4230.6,47.0,305.0,243.0,0.0,"Multi-States
(Karnataka,
Maharashtra)",Ministry of Petroleum & Natural Gas,0
Dhamra Haldia Pipeline Project,Ministry of Petroleum & Natural Gas,701344,1030.65,916.9,93.7,32.0,73.0,0.0,"Multi-States
(Odisha, West
Bengal)",Ministry of Petroleum & Natural Gas,1
"City Gas Distribution Projects at Fazilka [except area already authorized], Ganganagar and Hanumangarh districts",Bharat Petroleum Corporation Limited [BPCL],709794,3207.0,414.52,30.8,90.0,40.0,0.0,"Multi-States
(Punjab,
Rajasthan)",Bharat Petroleum Corporation Limited [BPCL],0
"Augmentation/ Revamping of Dimapur Depot, Dimapur",MinistryofPetroleumNaturalGas,709786,227.62,25.94,41.0,51.0,32.0,0.0,Nagaland,MinistryofPetroleumNaturalGas,0
Integrated Para Xylene [PX] and Purified Terephthalic Acid [PTA] Project at Paradip Refinery,Ministry of Petroleum & Natural Gas,604859,13805.0,8450.45,93.9,42.0,69.0,0.0,Odisha,Ministry of Petroleum & Natural Gas,0
"City Gas Distribution [CGD] Project in Gajapati, Kandhamal, Boudh, & Sonepur GA",Ministry of Petroleum & Natural Gas,617818,514.91,22.08,5.9,96.0,50.0,0.0,Odisha,Ministry of Petroleum & Natural Gas,0
"CUF POL Depot at Sadashibpur [Meramundali], Odisha",MinistryofPetroleumNaturalGas,709800,393.54,218.63,80.9,59.0,60.0,0.0,Odisha,MinistryofPetroleumNaturalGas,0
Life Extension of 48 well platforms of Mumbai High & Heera Fields,Oil and Natural Gas Corporation Limited [ONGC],400119,3190.69,3123.2,90.0,28.0,124.0,0.0,Offshore,Oil and Natural Gas Corporation Limited [ONGC],1
PRP-VIII [Group-A],Ministry of Petroleum & Natural Gas,616950,1486.4,529.96,53.8,17.0,19.0,0.0,Offshore,Ministry of Petroleum & Natural Gas,0
Pipeline Replacement Project- PRP-IX,Ministry of Petroleum & Natural Gas,619314,6175.0,520.71,11.3,21.0,8.0,0.0,Offshore,Ministry of Petroleum & Natural Gas,0
Daman Upside Development Project,Oil and Natural Gas Corporation Limited [ONGC],709839,4144.41,6136.43,99.9,40.0,46.0,0.0,Offshore,Oil and Natural Gas Corporation Limited [ONGC],1
MHN TCPP PGC BGC Project [MTPBP],Ministry of Petroleum & Natural Gas,709848,2329.45,1613.16,92.7,47.0,46.0,0.0,Offshore,Ministry of Petroleum & Natural Gas,1
PRP-VIII Group B [NH & BS Asset],Ministry of Petroleum & Natural Gas,709849,2379.84,2654.5,97.6,20.0,22.0,0.0,Offshore,Ministry of Petroleum & Natural Gas,1
Integrated Development of 4 Contract Areas under DSF-II,Ministry of Petroleum & Natural Gas,709851,6183.79,1555.0,40.4,47.0,35.0,0.0,Offshore,Ministry of Petroleum & Natural Gas,0
2G Ethanol Biorefinery at Bathinda,Hindustan Petroleum Corporation Limited [HPCL],400171,1421.46,1263.61,95.8,33.0,71.0,0.0,Punjab,Hindustan Petroleum Corporation Limited [HPCL],0
City Gas Distribution Project at Pathankot District,MinistryofPetroleumNaturalGas,709770,151.0,8.89,2.0,138.0,49.0,0.0,Punjab,MinistryofPetroleumNaturalGas,0
CBR 9 MMTPA Project,Chennai Petroleum Corporation Limited [CPCL],604795,31580.0,1570.83,10.2,45.0,55.0,0.0,Tamil Nadu,Chennai Petroleum Corporation Limited [CPCL],1
Laying of new 28 inch Desal Water Pipeline and 10 inch Reject Water Pipeline between CPCL Manali Refinery and CPCL Desalination plant at Ennore,Chennai Petroleum Corporation Limited [CPCL],709750,205.0,92.93,70.6,20.0,27.0,0.0,Tamil Nadu,Chennai Petroleum Corporation Limited [CPCL],0
City Gas Distribution Projects at the Nilgiris and Erode districts,Bharat Petroleum Corporation Limited [BPCL],709796,3685.0,288.66,25.4,87.0,40.0,0.0,Tamil Nadu,Bharat Petroleum Corporation Limited [BPCL],0
ATF Pipeline from BPCLs Malkapur POL Installation to Hyderabad International airport,MinistryofPetroleumNaturalGas,617822,215.0,45.69,24.7,30.0,13.0,0.0,Telangana,MinistryofPetroleumNaturalGas,0
"Creation of Gas Dehydration Facilities, Tripura Asset",Oil and Natural Gas Corporation Limited [ONGC],709837,209.33,78.98,68.9,26.0,49.0,0.0,Tripura,Oil and Natural Gas Corporation Limited [ONGC],0
Kanpur LPG Bottling Plant,MinistryofPetroleumNaturalGas,619191,202.0,125.69,54.0,24.0,7.0,0.0,Uttar Pradesh,MinistryofPetroleumNaturalGas,0
Bulk Loading Hub- Kanpur,MinistryofPetroleumNaturalGas,619312,186.0,92.47,54.0,24.0,7.0,0.0,Uttar Pradesh,MinistryofPetroleumNaturalGas,0
Revamping / Augmentation of Facilities at Mathura Bitumen Plant,MinistryofPetroleumNaturalGas,709781,260.12,20.15,52.3,62.0,48.0,0.0,Uttar Pradesh,MinistryofPetroleumNaturalGas,0
"City Gas Distribution Projects at Lakhimpur Kheri , Sitapur, Bahraich, Shravasti,Balrampur, Siddharth Nagar & Maharajganj districts",Bharat Petroleum Corporation Limited [BPCL],709795,16654.0,713.77,17.9,90.0,40.0,0.0,Uttar Pradesh,Bharat Petroleum Corporation Limited [BPCL],0
Durgapur - Haldia Pipeline [Section-3B of JHBDPL Project],Ministry of Petroleum & Natural Gas,617302,1740.0,2363.6,94.7,45.0,109.0,0.0,West Bengal,Ministry of Petroleum & Natural Gas,1
Siliguri-Jhapa Pipeline Project,Indian Oil Corporation Limited [IOCL],617828,267.0,1.92,11.2,54.0,19.0,0.0,West Bengal,Indian Oil Corporation Limited [IOCL],0
Siliguri Marketing Terminal [SMT] Capacity Augmentation Project,Ministry of Petroleum & Natural Gas,617837,484.0,310.0,87.9,49.0,53.0,0.0,West Bengal,Ministry of Petroleum & Natural Gas,0
Haldia Panagarh Pipeline Project,Hindustan Petroleum Corporation Limited,709753,1010.0,846.32,95.0,36.0,41.0,0.0,West Bengal,Hindustan Petroleum Corporation Limited,1
"CGD Project in Malda, Birbhum, Murshidabad, Dakshin Dinajpur GA ID 11A.03",Hindustan Petroleum Corporation Limited,709758,2628.0,388.06,36.3,96.0,46.0,0.0,West Bengal,Hindustan Petroleum Corporation Limited,0
"City Gas Distribution Project at East Mednipore, West Mednipore & Jhargram Districts",MinistryofPetroleumNaturalGas,709772,609.0,62.42,2.8,111.0,49.0,0.0,West Bengal,MinistryofPetroleumNaturalGas,0
City Gas Distribution Projects at Alipurduar and Cooch Behar,Bharat Petroleum Corporation Limited [BPCL],709791,1017.0,227.8,43.6,87.0,40.0,0.0,West Bengal,Bharat Petroleum Corporation Limited [BPCL],0
AIIMS Darbhanga,PMSSY AND Institute of NATIONAL Importance,701172,1264.0,0.0,0.0,48.0,67.0,0.0,Bihar,PMSSY AND Institute of NATIONAL Importance,0
Establishment of new GMC Jamui,"Medical Education, Ministry of Health and Family Welfare",707020,250.0,102.21,50.0,36.0,42.0,43.0,Bihar,"Medical Education, Ministry of Health and Family Welfare",1
Establishment of new GMC Korba,"Medical Education, Ministry of Health and Family Welfare",707044,325.0,177.49,54.0,38.0,30.0,8.0,Chhattisgarh,"Medical Education, Ministry of Health and Family Welfare",0
Establishment of new GMC Mahasamund,"Medical Education, Ministry of Health and Family Welfare",707045,325.0,321.5,82.0,31.0,30.0,0.0,Chhattisgarh,"Medical Education, Ministry of Health and Family Welfare",0
Establishment of new GMC Kanker,"Medical Education, Ministry of Health and Family Welfare",707046,325.0,35.0,59.0,30.0,19.0,55.0,Chhattisgarh,"Medical Education, Ministry of Health and Family Welfare",0
"Setting up IT Infrastructure including Network Security and Hosting at AIIMS, New Delhi",PMSSY AND Institute of NATIONAL Importance,617882,358.19,0.0,0.0,12.0,7.0,0.0,Delhi,PMSSY AND Institute of NATIONAL Importance,0
"Redevelopment of Residential colonies at Ayur Vigyan Nagar and West Ansari Nagar campuses of AIIMS, New Delhi",PMSSY AND Institute of NATIONAL Importance,617883,4441.0,24.68,61.0,60.0,46.0,68.0,Delhi,PMSSY AND Institute of NATIONAL Importance,0
AIIMS Rajkot,PMSSY AND Institute of NATIONAL Importance,701170,1195.0,775.6,93.7,86.0,87.0,0.0,Gujarat,PMSSY AND Institute of NATIONAL Importance,0
Establishment of new GMC Panchmahal,"Medical Education, Ministry of Health and Family Welfare",707049,325.0,455.34,87.5,42.0,43.0,0.0,Gujarat,"Medical Education, Ministry of Health and Family Welfare",1
Establishment of new GMC Porbandar,"Medical Education, Ministry of Health and Family Welfare",707050,325.0,934.64,78.0,23.0,42.0,6.0,Gujarat,"Medical Education, Ministry of Health and Family Welfare",1
AIIMS Majra Rewari Haryana,PMSSY AND Institute of NATIONAL Importance,701173,1299.0,651.42,57.2,94.0,86.0,0.0,Haryana,PMSSY AND Institute of NATIONAL Importance,1
AIIMS Kashmir at Awantipora Jammu & Kashmir,PMSSY AND Institute of NATIONAL Importance,701167,1828.0,1545.05,76.0,81.0,85.0,2.0,"Jammu and
Kashmir",PMSSY AND Institute of NATIONAL Importance,1
Establishment of new GMC Koderma,"Medical Education, Ministry of Health and Family Welfare",707021,250.0,270.0,40.0,30.0,26.0,5.0,Jharkhand,"Medical Education, Ministry of Health and Family Welfare",1
Establishment of new GMC Chaibasa [Singhbhum],"Medical Education, Ministry of Health and Family Welfare",707022,250.0,64.0,57.0,30.0,37.0,57.0,Jharkhand,"Medical Education, Ministry of Health and Family Welfare",1
Establishment of new GMC Rajgarh,"Medical Education, Ministry of Health and Family Welfare",707058,325.0,178.0,84.0,17.0,41.0,11.0,Madhya Pradesh,"Medical Education, Ministry of Health and Family Welfare",0
