project_name,project_code,legacy_ocms_code,original_cost,expenditure,physical_progress,planned_duration_months,project_age_months,approval_to_start_months,State,agency,cost_overrun_flag
GHONSA EXPANSION DEEP OC MINE,Western Coalfields Limited [WCL],615914,184.71,15.72,12.83,96.0,61.0,0.0,Maharashtra,Western Coalfields Limited [WCL],0
AMLG GAURI PAUNI EXPANSION OC,Western Coalfields Limited [WCL],615916,1225.21,88.88,4.21,71.0,24.0,0.0,Maharashtra,Western Coalfields Limited [WCL],0
GAURIDEEP/GAURI CENTRAL OCP 7.,Western Coalfields Limited [WCL],615917,973.07,1.55,2.31,69.0,22.0,10.0,Maharashtra,Western Coalfields Limited [WCL],0
RPR OF BHANEGAON OC,Western Coalfields Limited [WCL],615918,405.2,35.03,15.95,66.0,43.0,67.0,Maharashtra,Western Coalfields Limited [WCL],0
N. EXTN. MUNGOLI NIRGUDA D OCP,Western Coalfields Limited [WCL],615919,1024.91,217.01,27.92,57.0,22.0,0.0,Maharashtra,Western Coalfields Limited [WCL],0
NILJAI EXPANSION DEEP OCP,Western Coalfields Limited [WCL],615982,319.75,196.86,79.83,67.0,116.0,0.0,Maharashtra,Western Coalfields Limited [WCL],0
UKNI DEEP OC MINE -COST PLUS,Western Coalfields Limited [WCL],616044,237.06,166.87,93.51,26.0,87.0,2.0,Maharashtra,Western Coalfields Limited [WCL],0
AMALGAMATED INDER-KAMPTEE DEEP,Western Coalfields Limited [WCL],616050,235.9,127.42,98.97,66.0,91.0,0.0,Maharashtra,Western Coalfields Limited [WCL],0
ADASA UG TO OC MINE,Western Coalfields Limited [WCL],616223,316.0,209.35,86.49,64.0,89.0,0.0,Maharashtra,Western Coalfields Limited [WCL],0
AMAL GONDEGAON GHATROHANA EXPN,Western Coalfields Limited [WCL],616229,668.54,2.94,2.52,54.0,19.0,0.0,Maharashtra,Western Coalfields Limited [WCL],0
WAGHODA UG MINE [1.02 MTY],Western Coalfields Limited [WCL],617233,379.3,0.0,0.01,62.0,15.0,12.0,Maharashtra,Western Coalfields Limited [WCL],0
KOLARPIMPRI EXPANSION OC [2.5,Western Coalfields Limited [WCL],617278,630.37,0.61,0.35,61.0,14.0,8.0,Maharashtra,Western Coalfields Limited [WCL],0
SAONER-III EXPN UG MINE 1.54,Western Coalfields Limited [WCL],619055,444.42,0.0,0.0,79.0,8.0,0.0,Maharashtra,Western Coalfields Limited [WCL],0
BINA KAKRI AMALGAMATION EXPANS,Northern Coalfields Limited [NCL],400369,836.42,835.34,89.9,43.0,68.0,0.0,"Multi-States
(Madhya Pradesh,
Uttar Pradesh)",Northern Coalfields Limited [NCL],0
KHADIA EXPANSION [10 TO 16 MTP,Northern Coalfields Limited [NCL],615183,491.67,276.75,55.57,45.0,58.0,0.0,"Multi-States
(Madhya Pradesh,
Uttar Pradesh)",Northern Coalfields Limited [NCL],0
SUBHADRA OCP,Mahanadi Coalfields Limited [MCL],400165,1693.81,1329.14,45.57,131.0,59.0,0.0,Odisha,Mahanadi Coalfields Limited [MCL],0
SIARMAL OCP,Mahanadi Coalfields Limited [MCL],400166,5194.95,3490.38,59.5,97.0,62.0,0.0,Odisha,Mahanadi Coalfields Limited [MCL],0
BALARAM EXPANSION OCP,Mahanadi Coalfields Limited [MCL],400183,3504.21,958.0,57.15,103.0,68.0,0.0,Odisha,Mahanadi Coalfields Limited [MCL],0
GOPALJI KANIHA OCP [10 TO 30 M,MCL - CIL,400185,8416.19,1771.98,34.54,95.0,48.0,0.0,Odisha,MCL - CIL,0
INTEGRATED LAKHANPUR-BELPAHAR-,Mahanadi Coalfields Limited [MCL],400187,2434.75,2002.75,79.05,106.0,95.0,0.0,Odisha,Mahanadi Coalfields Limited [MCL],0
BHARATPUR RE-ORGANIZATION OCP,Mahanadi Coalfields Limited [MCL],400392,2838.86,1711.38,52.0,124.0,89.0,0.0,Odisha,Mahanadi Coalfields Limited [MCL],0
BASUNDHARA WEST EXTENSION OPEN,MCL - CIL,615193,479.15,281.57,67.58,58.0,143.0,0.0,Odisha,MCL - CIL,0
Naini Coal Mine,Singareni Collieries Company Limited [SCCL],615857,494.3,491.33,80.0,72.0,73.0,0.0,Odisha,Singareni Collieries Company Limited [SCCL],0
