rank,project_name,project_code,legacy_ocms_code,State,agency,original_cost,revised_cost,expenditure,physical_progress,cost_overrun_percent,schedule_change_months,expenditure_progress_gap,cost_risk,schedule_risk,progress_risk,financial_risk,rule_based_score,ml_score,final_risk_score,risk_level,risk_reasons
11,Delhi-Amritsar-Katra Expressway Phase-I Spur-III from Junction with Amritsar- Jalandhar road NH-3 near Bhishambarpura to Junction with Amritsar-Anjala road NH- 354 near Amritsar Airport [Km 71000 to Km 99000 of Amritsar connectivity],National Highways Authority of India [NHAI],619200,Punjab,National Highways Authority of India [NHAI],1641.75,1951.7,1007.55,32.47,18.87924470839044,32.0,19.154225034585224,50,100,75,40,69.75,94.25781,79.553125,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Low physical progress
12,Aruna Medium Irrigation Project,Department of water resources-MH - II,701391,Maharashtra,Department of water resources-MH - II,210.45,1472.14,1734.71,98.1,599.52007602756,72.0,19.735939516622068,100,100,0,40,66.0,98.96652,79.18660888671874,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Expenditure exceeds revised project cost
13,"Subernarekha Multipurpose Project, Jharkhand",Department of Water Resources-JH,701376,Jharkhand,Department of Water Resources-JH,3807.77,9579.58,5999.8,70.0,151.57979604860589,75.0,-7.36886168287127,100,100,40,0,70.0,91.753494,78.70139694213867,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months
14,Kelo Irrigation Project,Water Resources-CT,400111,Chhattisgarh,Water Resources-CT,459.97,727.04,618.85,72.0,58.06248233580449,78.0,13.119113116197184,100,100,40,40,76.0,81.36614,78.14645919799804,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months
15,Manoharabad-Kothapalli New Rail Line [151 km],South Central Railway [SCR] - II,705437,Telangana,South Central Railway [SCR] - II,1160.0,2781.0,3040.86,72.01,139.74137931034485,9.0,37.33412081984899,100,50,40,75,66.25,95.44975,77.92990112304688,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Expenditure is significantly ahead of physical progress | Expenditure exceeds revised project cost
16,Janghai-Pratapgarh- Amethi,CAO/C/II/NR,705588,Uttar Pradesh,CAO/C/II/NR,722.0,1194.0,1691.52,70.0,65.37396121883657,12.0,71.66834170854273,100,50,40,100,70.0,89.50942,77.80376815795898,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Expenditure is significantly ahead of physical progress | Expenditure exceeds revised project cost
17,Luhri Stage-I Hydro Electric Project [210 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602593,Himachal Pradesh,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,1810.56,4681.64,1924.48,51.32,158.57414280664548,49.0,-10.213037482591574,100,100,40,0,70.0,89.291855,77.71674346923828,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months
18,Araria Supaul New BG Line,East Central Railway [ECR] - I,705368,Bihar,East Central Railway [ECR] - I,1605.0,2514.0,1711.89,46.7,56.63551401869159,34.0,21.394272076372317,100,100,75,75,90.0,58.46066,77.38426399230957,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Low physical progress | Expenditure is significantly ahead of physical progress
19,"Subernarekha Project, Odisha","Department of Water Resources, River Development & GR",701402,Odisha,"Department of Water Resources, River Development & GR",3055.88,7023.19,8060.82,95.5,129.82545126117515,75.0,19.27434043504448,100,100,0,40,66.0,93.83356,77.1334243774414,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Expenditure exceeds revised project cost
20,"New Sinter Plant at BSL, SAIL",Steel Authority of India Limited [SAIL],400174,Jharkhand,Steel Authority of India Limited [SAIL],1034.01,1752.3,980.24,59.78,69.4664461658978,116.0,-3.8398071106545686,100,100,40,0,70.0,87.10108,76.84043502807617,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months
21,4L of Siwan- Masrakh section of Ram Janki Marg from Km 230.385 to Km 281.391 of NH-227A,National Highways Authority of India [NHAI],618926,Bihar,National Highways Authority of India [NHAI],1431.36,1927.04,190.58,10.07,34.63000223563604,24.0,-0.1802208568581864,75,75,100,0,70.0,86.92527,76.77010726928711,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Low physical progress
