Sl.No,project_name,ministry,sector,agency,State,approval_date,start_date,original_doc,revised_doc,original_cost,revised_cost,expenditure,physical_progress,project_code,legacy_ocms_code,pmgid
1,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Andhra Pradesh,03/2023,01/2024,01/2026,07/2026,265.91,265.91,129.07,65.0,612786,N04000106,-
2,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Andhra Pradesh,06/2020,09/2020,09/2022,10/2026,611.8,611.8,523.14,87.2,701107,N04000091,4353
3,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Andhra Pradesh,12/2022,08/2023,08/2025,06/2026,347.15,347.15,170.79,90.0,701121,N04000103,-
4,Guwahati Airport New Integrated Terminal Building Construction Project,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Adani Airport Holdings Limited,Assam,12/2016,03/2018,03/2025,06/2026,1712.0,2520.0,2627.39,98.0,706724,N04000083,9925
5,Development of New Civil Enclave at Bihta,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Bihar,08/2024,04/2025,03/2027,,1413.0,1413.0,7.64,1.28,612183,-,9918
6,Development of New Civil Enclave and associated works at Darbhanga Airport,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Bihar,07/2024,07/2024,07/2026,11/2026,911.66,911.66,374.49,65.0,612194,N04000112,9917
7,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Bihar,10/2018,10/2018,05/2026,05/2026,1216.9,1216.9,1200.67,98.22,701101,N04000082,4356
8,Goa Airport Terminal Building Extension Project,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Goa,11/2017,12/2019,12/2021,04/2026,255.69,255.69,156.7,100.0,701105,N04000095,4831
9,Development of Keshod Airport.,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Gujarat,01/2024,07/2025,01/2027,,363.1,363.1,87.88,33.13,619054,-,-
10,"Development of Dholera International Greenfield Airport , Gujarat",Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Gujarat,06/2022,07/2022,06/2026,06/2026,1305.0,1551.0,896.82,82.0,701126,N04000099,3366
11,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],"Jammu and
Kashmir",10/2023,12/2023,06/2026,11/2026,861.37,861.37,319.5,51.35,611047,N04000107,9921
12,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Karnataka,06/2023,01/2024,01/2026,06/2026,320.47,320.47,148.68,77.0,612787,N04000108,-
13,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Karnataka,06/2023,02/2024,02/2026,06/2026,322.45,322.45,204.5,87.0,612788,N04000105,-
14,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Kerala,06/2023,02/2024,09/2025,12/2026,484.57,484.57,204.6,59.0,612789,N04000111,-
15,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Ladakh,07/2018,09/2018,09/2021,07/2026,480.0,640.0,501.81,78.9,400010,N04000078,4665
16,C/o NITB Imphal Airport,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Manipur,11/2021,07/2022,07/2024,12/2026,499.0,499.0,201.99,50.69,706718,N04000100,-
17,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],"Multi-States
(Karnataka,
Maharashtra,
Telangana, Uttar
Pradesh)",12/2020,10/2022,09/2025,08/2026,500.48,500.48,381.2,78.0,611570,-,-
18,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Rajasthan,08/2025,10/2025,10/2027,11/2027,1507.0,1507.0,40.4,12.8,618977,-,10781
19,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Rajasthan,06/2022,05/2023,03/2026,04/2026,480.0,480.0,339.96,97.35,701127,N04000101,-
20,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Rajasthan,06/2023,11/2023,03/2026,09/2026,887.0,887.0,523.61,68.71,701128,N04000104,4363
