rank,project_name,project_code,legacy_ocms_code,State,agency,original_cost,expenditure,physical_progress,project_age_months,overrun_probability,risk_score,risk_level
1918,Construction of i Connecting Road from Z-Morh Tunnel to Zojila Tunnel Road Length 18.475km and ii 14.150 Km long 2-L Bi-directional single tube Zoji-la Tunnel across Zojila Pass on Sonamarg - Kargil section from Km 82 to Km 118 of NH-01 under PMDP,NHIDCL,618412,Andhra Pradesh,NHIDCL,6808.69,3214.27,66.05,66.0,0.24809308,0.24809308,LOW
1919,Inter-Regional Strengthening between SR Grid and WR Grid,Power Grid Corporation of India Limited [POWERGRID],617808,"Multi-States
(Karnataka,
Maharashtra)",Power Grid Corporation of India Limited [POWERGRID],1007.0,20.14,2.5,6.0,0.24790743,0.24790743,LOW
1920,Furkating-New Tinsukia[194 Km],Northeast Frontier Railway [NFR],618986,Assam,Northeast Frontier Railway [NFR],3633.58,0.0,0.0,7.0,0.24655883,0.24655883,LOW
1921,Construction of IIT Bhubaneswar -Phase III,"Indian Institute of Technology, Bhubaneshwar",611961,Odisha,"Indian Institute of Technology, Bhubaneshwar",454.27,100.77,7.0,23.0,0.24321817,0.24321817,LOW
1922,BLOCK E OCP,Ministry of Coal,616253,Jharkhand,Ministry of Coal,5850.83,20.32,4.17,25.0,0.2415342,0.2415342,LOW
1923,Kopparthy Industrial Area,NICDC,617729,Andhra Pradesh,NICDC,2136.0,39.75,3.0,6.0,0.24062353,0.24062353,LOW
1924,Provision of four bitumen tanks with capacity of 5 TMT each at Visakh Refinery,Ministry of Petroleum and Natural Gas,619226,Andhra Pradesh,Ministry of Petroleum and Natural Gas,258.34,1.65,10.5,7.0,0.24000211,0.24000211,LOW
1925,KATKONA RO UG MINE,South Eastern Coalfields Limited [SECL],615191,Chhattisgarh,South Eastern Coalfields Limited [SECL],329.21,62.03,2.01,39.0,0.2383118,0.2383118,LOW
1926,"Pipeline Rehabilitation Project, Phase-II",Ministry of Petroleum & Natural Gas,617827,"Multi-States
(Assam, Bihar,
West Bengal)",Ministry of Petroleum & Natural Gas,680.0,8.19,24.0,16.0,0.22982079,0.22982079,LOW
1927,New Line between Junagarh - Nabarangpur [116.21 Km],Indian Railway,618995,Odisha,Indian Railway,2864.51,0.0,0.0,8.0,0.22913173,0.22913173,LOW
1928,Badampahar-Kendujhargarh new line [82.06 km],CAO/C/SER,616587,Odisha,CAO/C/SER,1875.72,2.15,0.0,7.0,0.22899103,0.22899103,LOW
1929,WAGHODA UG MINE [1.02 MTY],Western Coalfields Limited [WCL],617233,Maharashtra,Western Coalfields Limited [WCL],379.3,0.0,0.01,15.0,0.22353895,0.22353895,LOW
