rank,project_name,project_code,legacy_ocms_code,State,agency,original_cost,expenditure,physical_progress,project_age_months,overrun_probability,risk_score,risk_level
1,Aruna Medium Irrigation Project,Department of water resources-MH - II,701391,Maharashtra,Department of water resources-MH - II,210.45,1734.71,98.1,195.0,98.96652,98.96652,CRITICAL
2,Madhya Ganga canal Phase-II,Irrigation & Water Resources-UP,701408,Uttar Pradesh,Irrigation & Water Resources-UP,1060.67,4575.74,82.39,216.0,98.58697,98.58697,CRITICAL
3,Durgapur - Haldia Pipeline [Section-3B of JHBDPL Project],Ministry of Petroleum & Natural Gas,617302,West Bengal,Ministry of Petroleum & Natural Gas,1740.0,2363.6,94.7,109.0,98.47451,98.47451,CRITICAL
4,Solan - Kaithlighat Section of NH-22 Now NH-5 from Km. 106.139 to Km.129.05,National Highways Authority of India [NHAI],619003,Himachal Pradesh,National Highways Authority of India [NHAI],881.74,652.04,90.11,89.0,98.431,98.431,CRITICAL
5,Delhi-Amritsar-Katra Expressway Phase-I Pkg-I from Jussur Kheri on NH-KMP Expressway to Junction with Rohtak-Panipat road NH-709 near Rukhi Paani village Km 0000 to Km 34000,National Highways Authority of India [NHAI],618482,Haryana,National Highways Authority of India [NHAI],1866.49,1081.52,99.91,52.0,98.36126,98.36126,CRITICAL
6,4L of Dwarka-Khambaliya-Devariya section from km 203.500 to km 176.500 and from km 171.800 to km 125.000 of NH-151A,National Highways Authority of India [NHAI],619137,Gujarat,National Highways Authority of India [NHAI],1024.69,882.1,100.0,74.0,98.333305,98.333305,CRITICAL
7,Nerchowk km 190.000 to Pandoh including Pandoh bypass km221.305,National Highways Authority of India [NHAI],618850,Himachal Pradesh,National Highways Authority of India [NHAI],1464.12,848.66,100.0,99.0,98.148865,98.148865,CRITICAL
8,Ahmedabad - Dholera Pkg III from km. 48.52 to km. 71.06 [Vejallka Village - Start of DSIR zone],National Highways Authority of India [NHAI],618503,Gujarat,National Highways Authority of India [NHAI],1034.04,955.74,100.0,57.0,98.14387,98.14387,CRITICAL
9,Delhi-Amritsar-Katra Expressway Phase-I Pkg-II from Junction with Rohtak-Panipat road NH-709 near Rukhi Paani village to Junction with Jind-Panipat road NH-352A near Gangana village Km 34000 to Km 60800,National Highways Authority of India [NHAI],618483,Haryana,National Highways Authority of India [NHAI],1533.87,971.07,99.89,51.0,97.92322,97.92322,CRITICAL
10,Dhaulasidh Hydro Electric Project [66 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602582,Himachal Pradesh,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,687.97,1107.31,77.51,59.0,97.857086,97.857086,CRITICAL
11,Four Laning of Una to Kodinar from km. 180.478 to km. 221.610 Package-V,National Highways Authority of India [NHAI],619145,Gujarat,National Highways Authority of India [NHAI],877.71,630.51,100.0,110.0,97.79695,97.79695,CRITICAL
12,Bakhtiyarpur Km 153.300 to Mokama Km 197.900,National Highways Authority of India [NHAI],619152,Bihar,National Highways Authority of India [NHAI],1182.94,843.24,99.95,106.0,97.71602,97.71602,CRITICAL
13,4L of Jind-Gohana road Package-1 from km. 0.00 to km. 40.601 of NH-352 A under NHO,National Highways Authority of India [NHAI],619092,Haryana,National Highways Authority of India [NHAI],994.22,623.68,99.97,69.0,97.65504,97.65504,CRITICAL
14,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II,Ministry of Petroleum & Natural Gas,701228,"Multi-States
(Karnataka,
Kerala, Tamil
Nadu)",Ministry of Petroleum & Natural Gas,2915.0,4790.3,96.6,202.0,97.50206,97.50206,CRITICAL
15,Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3 km],Central Railway [CR] - II,705356,Maharashtra,Central Railway [CR] - II,2538.67,5180.78,98.0,282.0,97.33736,97.33736,CRITICAL
16,Third Line [new] between Kazipet - Balharshah with electrification [201.04 Km],South Central Railway [SCR] - II,705613,"Multi-States
(Maharashtra,
Telangana)",South Central Railway [SCR] - II,2595.0,4141.26,94.7,114.0,97.3237,97.3237,CRITICAL
17,Establishment of new GMC Porbandar,"Medical Education, Ministry of Health and Family Welfare",707050,Gujarat,"Medical Education, Ministry of Health and Family Welfare",325.0,934.64,78.0,42.0,97.26213,97.26213,CRITICAL
18,Lower Pedhi Project,Department of water resources-MH - II,701396,Maharashtra,Department of water resources-MH - II,255.97,1516.11,65.0,216.0,97.07458,97.07458,CRITICAL
19,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-27 Ch.729.700 to Ch.756.052,National Highways Authority of India [NHAI],619197,Gujarat,National Highways Authority of India [NHAI],1185.69,991.08,97.0,50.0,97.06196,97.06196,CRITICAL
20,BRT Tiger Reserve Boundary Km.287.500 to Bangalore Section Km.458.420 of NH- 209 in Karnataka,National Highways Authority of India [NHAI],619150,Karnataka,National Highways Authority of India [NHAI],2082.69,730.43,99.7,104.0,96.9777,96.9777,CRITICAL
21,Rehabilitation and Up-gradation of existing road to 2L PS from End of Hamirpur Bypass near Chilbahal to Bhangbar section from Km. 138.295 to Km.175.270 of NH- 88 Pkg-IV,National Highways Authority of India [NHAI],618888,Himachal Pradesh,National Highways Authority of India [NHAI],1146.19,293.43,91.35,36.0,96.94707,96.94707,CRITICAL
22,Doubling of Daund Manmad Line [247.6 km],Central Railway,705504,Maharashtra,Central Railway,2081.27,3077.28,92.0,109.0,96.80835,96.80835,CRITICAL
23,Vadodara Mumbai Expressway Gandeva to Ena Phase IB - Pkg VII [Km 190.00 to Km 217.500],National Highways Authority of India [NHAI],618465,Gujarat,National Highways Authority of India [NHAI],1710.3,2158.87,97.05,53.0,96.56698,96.56698,CRITICAL
24,8L of Dwarka Expressway Pkg-II RuB near Dwarka Sector 21-DL/HR Border from 5.300 Km.to 9.500 Km. of NH-248BB,National Highways Authority of India [NHAI],619090,Delhi,National Highways Authority of India [NHAI],2067.67,1909.28,100.0,78.0,96.47684,96.47684,CRITICAL
25,Sardar Gouthu Latchanna Thotapalli Barrage Project,Water Resources-AP,400100,Andhra Pradesh,Water Resources-AP,353.05,872.65,95.88,243.0,96.43814,96.43814,CRITICAL
26,Tapovan-Vishnugad HEP [4x130 MW],National Thermal Power Corporation [NTPC],602185,Uttarakhand,National Thermal Power Corporation [NTPC],2978.0,7715.24,77.0,233.0,96.18132,96.18132,CRITICAL
27,Loha-Waranga Section of NH-361 from km 187.800 to km 244.369,National Highways Authority of India [NHAI],618653,Maharashtra,National Highways Authority of India [NHAI],1236.08,899.6,96.2,85.0,96.17951,96.17951,CRITICAL
28,Ahmedabad - Dholera Pkg IV from km. 71.06 to km. 109.019 [Start of DSIR zone - Adhelai Village],National Highways Authority of India [NHAI],618504,Gujarat,National Highways Authority of India [NHAI],1181.76,1204.33,97.92,52.0,96.1401,96.1401,CRITICAL
29,Subansiri Lower HE Project [2000 MW],National Hydroelectric Power Corporation Limited [NHPC],602096,"Multi-States
(Arunachal
Pradesh, Assam)",National Hydroelectric Power Corporation Limited [NHPC],6285.33,26150.32,97.64,255.0,95.94946,95.94946,CRITICAL
30,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-31 Ch.824920 to Ch.844382 [Junction near Pratap nagar Village - Junction near Dodka Village],National Highways Authority of India [NHAI],618462,Gujarat,National Highways Authority of India [NHAI],1644.85,963.66,100.0,59.0,95.85262,95.85262,CRITICAL
31,"Renigunta, Wadi & Gooty Bypass Railway Project",South Central Railway [SCR] - II,705610,"Multi-States
(Andhra Pradesh,
Karnataka)",South Central Railway [SCR] - II,302.0,635.72,89.03,120.0,95.83946,95.83946,CRITICAL
32,Nardave Medium Irrigation Project,Department of water resources-MH - II,701398,Maharashtra,Department of water resources-MH - II,211.46,626.06,72.59,204.0,95.83139,95.83139,CRITICAL
33,Establishment of new GMC Gangtok,"Medical Education, Ministry of Health and Family Welfare",707039,Sikkim,"Medical Education, Ministry of Health and Family Welfare",250.0,666.21,92.0,88.0,95.565414,95.565414,CRITICAL
34,Vadodara Mumbai Expressway Ena -Kim Phase IB - Pkg VI [Km 217.500 to Km 254.430],National Highways Authority of India [NHAI],618464,Gujarat,National Highways Authority of India [NHAI],2271.86,2574.42,98.9,52.0,95.53284,95.53284,CRITICAL
35,New Railway Line between Ginigera and Raichur [165.57 km],South Western Railway [SWR] - II,705434,Karnataka,South Western Railway [SWR] - II,2565.0,2293.26,70.0,203.0,95.479126,95.479126,CRITICAL
36,Manoharabad-Kothapalli New Rail Line [151 km],South Central Railway [SCR] - II,705437,Telangana,South Central Railway [SCR] - II,1160.0,3040.86,72.01,111.0,95.44975,95.44975,CRITICAL
37,Trivandrum- Kanyakumari,Southern Railway [SR] - I,705635,"Multi-States
(Kerala, Tamil
Nadu)",Southern Railway [SR] - I,1432.0,2909.77,56.0,121.0,95.28546,95.28546,CRITICAL
38,4L of Phagwara - Hoshiarpur,National Highways Authority of India [NHAI],618786,Punjab,National Highways Authority of India [NHAI],1196.38,160.92,13.97,13.0,95.26725,95.26725,CRITICAL
39,"Dallirajhara - Rowghat New Rail Line Project, Phase-I",Rail Vikas Nigam Limited,617374,Chhattisgarh,Rail Vikas Nigam Limited,1516.45,2124.32,98.0,197.0,95.22267,95.22267,CRITICAL
40,4L Kodinar - Veraval Package VI from km. 222.400 to km. 230.00 Kodinar Bypass of NH-8E NH 51 new,National Highways Authority of India [NHAI],618834,Gujarat,National Highways Authority of India [NHAI],162.73,174.82,100.0,48.0,95.21205,95.21205,CRITICAL
41,Ahmedabad - Dholera Pkg I from km. 0.00 to km. 22.00 [Sardar Patel Ring Road - Sindhrej Village],National Highways Authority of India [NHAI],618501,Gujarat,National Highways Authority of India [NHAI],1298.0,1012.45,100.0,51.0,95.17984,95.17984,CRITICAL
42,Srikakulam Angul Gas Pipeline Project,Ministry of Petroleum & Natural Gas,701343,"Multi-States
(Andhra Pradesh,
Odisha)",Ministry of Petroleum & Natural Gas,2658.34,2315.2,97.6,79.0,95.16576,95.16576,CRITICAL
43,Chakur Loha Section of NH-361 from km 114.600 to km 187.80,National Highways Authority of India [NHAI],618652,Maharashtra,National Highways Authority of India [NHAI],1241.38,785.13,100.0,85.0,95.01521,95.01521,CRITICAL
44,Six Laning of Vijayawada Bypass from Gollapudi to Chinnakakani in Vijayawada - Gundugolanu Section from km. 30.00 to km. 47.881 Pkg-IV,National Highways Authority of India [NHAI],618527,Andhra Pradesh,National Highways Authority of India [NHAI],1194.57,853.14,99.92,57.0,94.98045,94.98045,CRITICAL
45,Ahmedabad Metro Rail Project [Phase-I],Gujarat Metro Rail Corporation Limited [GMRCL],702639,Gujarat,Gujarat Metro Rail Corporation Limited [GMRCL],10773.0,12520.65,99.99,134.0,94.97286,94.97286,CRITICAL
46,Indiramma Flood Flow Canal Project,Irrigation and CAD-TG,400103,Telangana,Irrigation and CAD-TG,1331.3,4491.08,92.0,243.0,94.92881,94.92881,CRITICAL
47,Kanupur Irrigation Project,Irrigation and CAD-TG,701404,Odisha,Irrigation and CAD-TG,989.43,2804.16,79.5,267.0,94.83183,94.83183,CRITICAL
48,Sardar Sarovar Project,"Narmada and Water Resources, Water Supply and Kalpsar Department-GJ",701372,Gujarat,"Narmada and Water Resources, Water Supply and Kalpsar Department-GJ",20718.17,31860.86,93.7,360.0,94.76991,94.76991,CRITICAL
49,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-28 Ch.756052 to Ch.781282,National Highways Authority of India [NHAI],618460,Gujarat,National Highways Authority of India [NHAI],1263.38,865.87,100.0,53.0,94.73344,94.73344,CRITICAL
50,Dwarka Expressway Pkg-III Delhi/HR Border to Start of RoB Gurugram,National Highways Authority of India [NHAI],618577,"Multi-States (Delhi,
Haryana)",National Highways Authority of India [NHAI],2228.26,991.43,100.0,89.0,94.61806,94.61806,CRITICAL
51,"Fatuha-Islampur incl. MM for extn.of NL from Neora to Daniawan , Daniawan to Biharsharif, Biharsharif to Barbigha , Barbigha to Shekhpura",East Central Railway [ECR] - I,705373,Bihar,East Central Railway [ECR] - I,1473.0,2641.14,98.0,289.0,94.47878,94.47878,CRITICAL
52,Four Laning of Angul to Sambalpur from Km.112.000 to Km.265.000,National Highways Authority of India [NHAI],619118,Odisha,National Highways Authority of India [NHAI],2510.04,1194.15,99.98,109.0,94.32489,94.32489,CRITICAL
53,Vadodara Mumbai Expressway Kim to Ankleshwar Phase IA - Pkg V,National Highways Authority of India [NHAI],618463,Gujarat,National Highways Authority of India [NHAI],1324.84,1248.75,91.34,77.0,94.3186,94.3186,CRITICAL
54,Gosikhurd Project,Department of water resources-MH - II,701386,Maharashtra,Department of water resources-MH - II,7196.47,14339.36,72.65,216.0,94.30315,94.30315,CRITICAL
55,Challakere to Hariyur section from km 358.500 to km 414.205 of NH-150 A,National Highways Authority of India [NHAI],618698,Karnataka,National Highways Authority of India [NHAI],1167.52,843.6,99.5,63.0,94.26587,94.26587,CRITICAL
56,Hassan km 184.912 to Maranahally km 230.060 of NH - 75 in Karnataka,National Highways Authority of India [NHAI],619117,Karnataka,National Highways Authority of India [NHAI],1021.57,697.83,97.8,109.0,94.264275,94.264275,CRITICAL
57,Delhi-Amritsar-Katra Expressway Phase-I Spur-III from Junction with Amritsar- Jalandhar road NH-3 near Bhishambarpura to Junction with Amritsar-Anjala road NH- 354 near Amritsar Airport [Km 71000 to Km 99000 of Amritsar connectivity],National Highways Authority of India [NHAI],619200,Punjab,National Highways Authority of India [NHAI],1641.75,1007.55,32.47,41.0,94.25781,94.25781,CRITICAL
58,Rajiv Bhima Lift Irrigation Scheme,Irrigation and CAD-TG,701406,Telangana,Irrigation and CAD-TG,1402.0,1839.76,100.0,219.0,94.24773,94.24773,CRITICAL
59,Polavaram Irrigation Project,Water Resources-AP,701415,Andhra Pradesh,Water Resources-AP,10151.04,26674.77,86.14,197.0,94.21635,94.21635,CRITICAL
60,4L of HP/Punjab Border - Mo from km. 11.00 to km. 42.00 of Old NH-20 New NH-154 Package-IA,National Highways Authority of India [NHAI],619153,Himachal Pradesh,National Highways Authority of India [NHAI],1002.11,537.04,60.06,47.0,94.167725,94.167725,CRITICAL
61,Dwarka Expressway from Km -0.600 to Km 5.300 - Pkg-I Shivmurti Chowk-RuB near Dwarka Sector 21,National Highways Authority of India [NHAI],619202,Delhi,National Highways Authority of India [NHAI],2144.67,3097.34,98.8,67.0,94.099205,94.099205,CRITICAL
62,Jaynagar-Narahia Section km 156.500 to km 219.945 Lot-III,MoRTH,618007,Bihar,MoRTH,553.3,0.0,99.0,119.0,93.99279,93.99279,CRITICAL
63,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-14 Ch. 388.420 to Ch. 419.000 [Junction with NH- 76 to Junction with NH-12 near village Ummedpura],National Highways Authority of India [NHAI],618456,Rajasthan,National Highways Authority of India [NHAI],1119.35,975.7,99.8,59.0,93.957825,93.957825,CRITICAL
64,Gundlakamma project,Water Resources-AP,400101,Andhra Pradesh,Water Resources-AP,397.41,619.46,98.3,252.0,93.952,93.952,CRITICAL
65,Khurda-Bolangir New Broad Gauge Rail Link [301km],East Coast Railway [ECoR] - II,705358,Odisha,East Coast Railway [ECoR] - II,3792.0,5671.96,92.0,301.0,93.93323,93.93323,CRITICAL
66,4L of Bhavnagar - Talaja Package-I from Km. 6.945 to Km. 54.990 of Old NH-8E,National Highways Authority of India [NHAI],619148,Gujarat,National Highways Authority of India [NHAI],1185.66,53.18,100.0,110.0,93.844154,93.844154,CRITICAL
67,"Subernarekha Project, Odisha","Department of Water Resources, River Development & GR",701402,Odisha,"Department of Water Resources, River Development & GR",3055.88,8060.82,95.5,339.0,93.83356,93.83356,CRITICAL
68,Development of 6L UER II [Package - I] NH-1 Near Bakoli till Karala Kanjhawala Road from km. 0.70 to km.15.00,National Highways Authority of India [NHAI],618509,Delhi,National Highways Authority of India [NHAI],2089.94,1803.73,99.99,54.0,93.8145,93.8145,CRITICAL
69,Gohana - Sonipat PKG-2,National Highways Authority of India [NHAI],618580,Haryana,National Highways Authority of India [NHAI],1275.31,734.08,97.86,69.0,93.55918,93.55918,CRITICAL
70,Kodinar - Veraval Package VI from km. 221.610 to km. 263.00 of NH-8E & km. 120.900 to km. 121.150 of NH-8D,National Highways Authority of India [NHAI],618833,Gujarat,National Highways Authority of India [NHAI],894.01,457.05,98.79,98.0,93.482506,93.482506,CRITICAL
71,Integrated Anandpur Barrage Project,Water Resources-OR,603945,Odisha,Water Resources-OR,567.03,2776.23,62.85,339.0,93.34996,93.34996,CRITICAL
72,4L of Bal Works of Mahuva to Kagvadar from 100.450 Km. to 140.470 Km. of NH-8E Pkg- III,National Highways Authority of India [NHAI],619147,Gujarat,National Highways Authority of India [NHAI],603.08,624.41,99.71,61.0,93.34202,93.34202,CRITICAL
73,6L of Anandapuram Pendurthi Anakapalli Section from km. 681.000 to km. 731.780 of NH-16,National Highways Authority of India [NHAI],618579,Andhra Pradesh,National Highways Authority of India [NHAI],2527.0,994.53,100.0,87.0,93.31397,93.31397,CRITICAL
74,4L of Hubli - Hospet Section of NH-63 from Km 128.850 to Km 272.571,National Highways Authority of India [NHAI],619121,Karnataka,National Highways Authority of India [NHAI],2531.99,1360.9,99.65,109.0,93.275116,93.275116,CRITICAL
75,Sardar Sarovar CADWM Project,"Narmada and Water Resources, Water Supply and Kalpsar Department-GJ",400097,Gujarat,"Narmada and Water Resources, Water Supply and Kalpsar Department-GJ",5021.76,4956.98,90.3,108.0,93.263176,93.263176,CRITICAL
76,Vadodara Mumbai Expressway Phase II - Pkg XII [Km. 50.700 to Km. 77.000] Masvan - Ganjad,National Highways Authority of India [NHAI],619198,Maharashtra,National Highways Authority of India [NHAI],1711.38,979.26,99.38,49.0,93.2239,93.2239,CRITICAL
77,Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity enhancement of 1.0 Million Tonee Per Annum,National Aluminium Company Limited [NALCO],400141,Odisha,National Aluminium Company Limited [NALCO],4103.0,4887.6,94.2,108.0,93.19253,93.19253,CRITICAL
78,Sitamarhi-Jaynagar Section km 79.400 to km 156.500 Lot-II,MoRTH,618006,Bihar,MoRTH,369.77,0.0,98.78,118.0,93.07688,93.07688,CRITICAL
79,4L of Kodad Design Km 0.00/Existing Km 185.00 of NH-65 to Khammam Design Km 31.800/Existing Km 29.400 of NH-365A,National Highways Authority of India [NHAI],618945,Telangana,National Highways Authority of India [NHAI],1149.17,787.84,99.98,51.0,93.06814,93.06814,CRITICAL
80,Umagaon-Saharsa Package-IV Koshi Bridge & approach Road - Bheja-Bakaur,NHAI,618953,Bihar,NHAI,1199.58,1120.87,89.23,74.0,93.04098,93.04098,CRITICAL
81,2L PS of Majhauli to Charout section from km. 0.00 to km. 63.655,NHAI,618955,Bihar,NHAI,638.29,622.86,99.66,77.0,93.03641,93.03641,CRITICAL
82,6L of Chiloda-Naroda section from Km. 540.595 to Km. 555.595 of NH-8Package-VII,National Highways Authority of India [NHAI],619067,Gujarat,National Highways Authority of India [NHAI],356.6,103.23,100.0,107.0,92.93559,92.93559,CRITICAL
83,Ahmedabad - Dholera Pkg II from km. 22.00 to km. 48.52 [Sindhrej Village - Vejallka Village],National Highways Authority of India [NHAI],618502,Gujarat,National Highways Authority of India [NHAI],1415.34,1354.93,100.0,51.0,92.88236,92.88236,CRITICAL
84,Sanchore - Santalpur from km 99.000 - km 130.073 of NH-754K AJ-RGBS-Package-4,National Highways Authority of India [NHAI],618615,Gujarat,National Highways Authority of India [NHAI],778.15,663.38,99.7,61.0,92.88219,92.88219,CRITICAL
85,Ramganjmandi-Bhopal New Line Project [276.50 km],West Central Railway [WCR] - II,705481,"Multi-States
(Madhya Pradesh,
Rajasthan)",West Central Railway [WCR] - II,3032.0,4139.87,81.0,258.0,92.868355,92.868355,CRITICAL
86,"4L of Bhangbar Near Ranital to Kangra Bypass Section of Old NH-88 New NH- 303,503 up to Intersection with NH-154 from Km 175.270 to Km 193.400 Pkg-VB",National Highways Authority of India [NHAI],618889,Himachal Pradesh,National Highways Authority of India [NHAI],1322.95,824.55,97.45,40.0,92.79097,92.79097,CRITICAL
87,4/6 Laning of Raipur-Simga Pkg-I from km. 0.00 to km. 48.58,National Highways Authority of India [NHAI],619103,Chhattisgarh,National Highways Authority of India [NHAI],1096.52,107.31,100.0,120.0,92.7628,92.7628,CRITICAL
88,Thalassery Mahe Bypass Km 170.600 to Km 189.200 of NH-17New NH-66 in Kerala,National Highways Authority of India [NHAI],619097,"Multi-States
(Kerala,
Puducherry)",National Highways Authority of India [NHAI],1181.12,710.24,100.0,100.0,92.6977,92.6977,CRITICAL
89,Establishment of new GMC Panchmahal,"Medical Education, Ministry of Health and Family Welfare",707049,Gujarat,"Medical Education, Ministry of Health and Family Welfare",325.0,455.34,87.5,43.0,92.659485,92.659485,CRITICAL
90,Pandoh bypass 221.305 to Takoli 242.000 of NH-21 in the state of Himachal Pradesh,National Highways Authority of India [NHAI],618851,Himachal Pradesh,National Highways Authority of India [NHAI],3419.95,1923.0,95.62,97.0,92.59693,92.59693,CRITICAL
91,4L Sundar Nagar Bypass from Km.173.900 to Km.179.600 of NH-21,National Highways Authority of India [NHAI],618852,Himachal Pradesh,National Highways Authority of India [NHAI],191.11,182.17,100.0,46.0,92.56922,92.56922,CRITICAL
92,Maheshkunt -Saharsa-Purnea Pkg II,National Highways Authority of India [NHAI],618903,Bihar,National Highways Authority of India [NHAI],1028.28,831.69,91.03,88.0,92.49724,92.49724,CRITICAL
93,Delhi-Amritsar-Katra Expressway Phase-I Pkg-III from Junction with Jind-Panipat road NH-352A near Gangana village to Junction with Jind-Karnal road NH-709A near Alewa village Km 60800 to Km 91400,National Highways Authority of India [NHAI],618484,Haryana,National Highways Authority of India [NHAI],1606.27,631.62,79.08,52.0,92.38415,92.38415,CRITICAL
94,Relining of Rajasthan feeder and Sirhind Feeder canal,Department of Water Resources-PB,701410,Punjab,Department of Water Resources-PB,1441.26,2222.34,90.0,96.0,92.22514,92.22514,CRITICAL
95,Tarsod - Fagne section of NH-6,National Highways Authority of India [NHAI],618638,Maharashtra,National Highways Authority of India [NHAI],2267.99,990.0,98.84,87.0,92.077866,92.077866,CRITICAL
96,6L Greenfield Varanasi-Ranchi-Kolkata Highway from junction with Chandauli- Chainpur Road near Khainti village to junction with Bhabhua-Adhaura road near Palka village from Km. 27.000 to Km. 54.000 Pkg-2,National Highways Authority of India [NHAI],618726,Bihar,National Highways Authority of India [NHAI],1240.93,103.25,14.08,6.0,91.95699,91.95699,CRITICAL
97,6L of Badakumari - Karki Section from Km 179.000 to km 226.500 of NH-130-CD Package OD-3,National Highways Authority of India [NHAI],619109,Odisha,National Highways Authority of India [NHAI],1101.76,645.61,99.7,48.0,91.87566,91.87566,CRITICAL
98,Vishnugad Pipalkoti Hydro Electric Project [444 MW],THDC India Limited,602195,Uttarakhand,THDC India Limited,3860.35,5429.35,80.0,147.0,91.87533,91.87533,CRITICAL
99,Aunta - Simaria including Ganga Bridge,National Highways Authority of India [NHAI],618839,Bihar,National Highways Authority of India [NHAI],1309.47,812.81,100.0,92.0,91.837,91.837,CRITICAL
100,"Subernarekha Multipurpose Project, Jharkhand",Department of Water Resources-JH,701376,Jharkhand,Department of Water Resources-JH,3807.77,5999.8,70.0,171.0,91.753494,91.753494,CRITICAL
101,Permanent rectification of 3 nos. of black spots in project Highway NH-27 of U.P border - Dewapur - Kotwa section from Km.360.915 to km.440.000 Total Length of 79.085 Km of NH-27& Permanent rectification of 5 nos. of black spots of project Highway NH-27 of Kotwa - Mehsi - Muzaffarpur Section from km.440.000 to km.520.000 Total length 80.00Km,National Highways Authority of India [NHAI],618571,Bihar,National Highways Authority of India [NHAI],227.25,224.1,80.46,28.0,91.75153,91.75153,CRITICAL
102,Tarakeshwar-Bishnupur New Line [82.47 km],Eastern Railway [ER] - I,400273,West Bengal,Eastern Railway [ER] - I,1189.0,1390.59,96.9,218.0,91.7022,91.7022,CRITICAL
103,4L of Haridwar-Nagina section from km. 0.00 to km. 71.614 of NH-74,National Highways Authority of India [NHAI],619217,"Multi-States (Uttar
Pradesh,
Uttarakhand)",National Highways Authority of India [NHAI],1659.12,822.5,97.64,99.0,91.68261,91.68261,CRITICAL
104,3rd Line Manmad - Jalgaon [160 Kilometres],Central Railway [CR] - II,705506,Maharashtra,Central Railway [CR] - II,1035.16,1865.44,100.0,96.0,91.64368,91.64368,CRITICAL
105,Doubling of Hatia [Ranchi]-Bondamunda Rail Line - 159 km,South Eastern Railway - JH,705628,"Multi-States
(Jharkhand,
Odisha)",South Eastern Railway - JH,3029.0,2629.17,92.0,110.0,91.52674,91.52674,CRITICAL
106,Hospet-Hubli-Vasco da Gama Line Electrification Project,RVNL,706950,"Multi-States (Goa,
Karnataka)",RVNL,744.49,1163.14,99.65,95.0,91.47963,91.47963,CRITICAL
107,Waghur Project,Department of water resources-MH - II,701383,Maharashtra,Department of water resources-MH - II,1058.99,1557.82,89.57,360.0,91.47934,91.47934,CRITICAL
108,6L Greenfield Varanasi-Ranchi-Kolkata Highway from junction with Bhabhua-Adhaura road in Bhairopur village to Konki village From KM. 54.000 to KM. 90.000Pkg-3,National Highways Authority of India [NHAI],618727,Bihar,National Highways Authority of India [NHAI],1576.94,123.3,16.0,6.0,91.473045,91.473045,CRITICAL
109,Sri Ram Sagar Project Stage - II,Irrigation and CAD-TG,400102,Telangana,Irrigation and CAD-TG,736.13,971.47,97.0,252.0,91.469765,91.469765,CRITICAL
110,Nidagatta-Mysore Pkg II,National Highways Authority of India [NHAI],619120,Karnataka,National Highways Authority of India [NHAI],2919.8,2279.05,99.19,76.0,91.28918,91.28918,CRITICAL
111,Jharsuguda-Bilaspur Fourth Railway Line [206 km],SECR,705616,"Multi-States
(Chhattisgarh,
Odisha)",SECR,2140.0,2260.48,97.0,115.0,91.230515,91.230515,CRITICAL
112,4L of Kathlighat to Shakral Village from Km 128.835 to Km 146.300 of NH- 5 Shimla Bypass - Pkg I,National Highways Authority of India [NHAI],618921,Himachal Pradesh,National Highways Authority of India [NHAI],1703.48,980.87,54.0,36.0,91.17838,91.17838,CRITICAL
113,Sheohar-Sitamarhi Section km 40.000 to 79.400 km Lot-I,MoRTH,618005,Bihar,MoRTH,178.85,0.0,98.65,119.0,91.12319,91.12319,CRITICAL
114,Kozhikode Bypass Calicut Bypass Vengalam Jn. to Ramanattukara Jn.,National Highways Authority of India [NHAI],619098,Kerala,National Highways Authority of India [NHAI],1424.77,1048.92,98.75,62.0,91.03294,91.03294,CRITICAL
115,Bargi Diversion Project Phase - III [km. 104 to km 154],Water Resources-MP,400116,Madhya Pradesh,Water Resources-MP,1229.15,2190.05,81.42,228.0,90.98983,90.98983,CRITICAL
116,4L of Greenfield section from Sirhind to Mohali,National Highways Authority of India [NHAI],618776,Punjab,National Highways Authority of India [NHAI],1237.65,979.97,88.82,35.0,90.95904,90.95904,CRITICAL
117,Moga - Bagha Purana - Bajakhana from km. 0.00 to km. 43.32,National Highways Authority of India [NHAI],618764,Punjab,National Highways Authority of India [NHAI],1032.59,663.72,76.0,40.0,90.956085,90.956085,CRITICAL
118,Kharsia-Dharamjaygarh with Spur line [East Corridor-Phase 1],Indian Railway Construction International Limited [IRCON],400220,Chhattisgarh,Indian Railway Construction International Limited [IRCON],3055.0,2695.19,95.1,147.0,90.91398,90.91398,CRITICAL
119,6L Amritsar-Bathinda Greenfield section from Jn. with Moga Jalandhar road NH-703 near Dharamkot to Jn. with Bhagta Bhai Ka-Bhadaur Road near Dyalpura Bhai Ka from km 39.000 to km 93.000 of NH-754A Pkg-2,National Highways Authority of India [NHAI],619099,Punjab,National Highways Authority of India [NHAI],1801.37,597.42,64.2,22.0,90.813354,90.813354,CRITICAL
